"Ind","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","Year","FVeg","FT","BT","FertT","FlwrVeg","Weight","PropDam","OH","StemTotal"
"E1-198",12,"12-47",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",87,184,171,211,91,12.9570434782609,0.166666666666667,NA,6
"E1-199",12,"12-29",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",81,197,184,211,86,10.4070434782609,0,NA,7
"E1-2",18,"18-77",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",76,184,171,211,80,3.66704347826087,0.5,NA,4
"E1-20",19,"19-6",47.73136,-80.32791398,"ONEL","E1","Sprayed","2018",91.5,179,171,211,91.5,4.36704347826087,0.5,NA,4
"E1-200",19,"19-38",47.73136,-80.32791398,"ONEL","E1","Sprayed","2018",114,179,171,211,114.5,15.3670434782609,0.25,NA,4
"E1-21",2,"2-25",38.7966,-77.29988901,"VAFF","E1","Sprayed","2018",151.5,211,179,218,152.5,10.9970434782609,0,NA,1
"E1-22",1,"1-20",38.8235,-77.71118397,"VABR","E1","Sprayed","2018",119.5,211,190,218,119.5,6.12704347826087,0,NA,6
"E1-23",20,"20-7",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",75,171,171,211,73,19.6370434782609,0.142857142857143,NA,7
"E1-24",14,"14-61",44.29771,-78.300041,"ONPB","E1","Sprayed","2018",100,190,171,211,103,8.43704347826087,0.166666666666667,NA,6
"E1-25",13,"13-78",44.6076,-76.27898502,"ONCQ","E1","Sprayed","2018",96,197,179,211,96,6.16704347826087,0,NA,5
"E1-26",11,"11-66",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",138,211,190,211,140,18.2070434782609,0,NA,5
"E1-27",13,"13-45",44.6076,-76.27898502,"ONCQ","E1","Sprayed","2018",99,184,171,211,102,7.67704347826087,0,NA,4
"E1-28",15,"15-14",44.2915,-79.04909003,"ONBV","E1","Sprayed","2018",96.5,179,171,211,95,15.0970434782609,0.2,NA,5
"E1-29",16,"16-66",44.75284,-79.33799797,"ONWA","E1","Sprayed","2018",133.5,197,179,211,132.5,5.51704347826087,0,NA,2
"E1-3",11,"11-60",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",111.5,197,179,211,112,6.23704347826087,0,NA,2
"E1-30",12,"12-60",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",104,190,179,211,105,6.76704347826087,0.2,NA,5
"E1-31",19,"19-26",47.73136,-80.32791398,"ONEL","E1","Sprayed","2018",120,184,171,211,118,5.92704347826087,0,NA,3
"E1-32",15,"15-13",44.2915,-79.04909003,"ONBV","E1","Sprayed","2018",98,184,179,211,99,7.75704347826087,0,NA,4
"E1-33",12,"12-51",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",95.5,190,179,211,96,7.62704347826087,0,NA,6
"E1-34",3,"3-31",40.23327,-77.280415,"PAOL","E1","Sprayed","2018",119.5,211,190,218,117,4.60704347826087,0,NA,6
"E1-35",6,"6-21",41.57154,-74.48428896,"NYWU","E1","Sprayed","2018",110,190,179,211,108.5,7.68704347826087,0.2,NA,5
"E1-36",14,"14-30",44.29771,-78.300041,"ONPB","E1","Sprayed","2018",118,184,171,211,120,11.1170434782609,0,NA,3
"E1-37",18,"18-76",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",96.5,184,171,211,97,11.6470434782609,0,NA,5
"E1-38",6,"6-65",41.57154,-74.48428896,"NYWU","E1","Sprayed","2018",117,190,179,211,115,15.7170434782609,0.333333333333333,NA,6
"E1-39",1,"1-26",38.8235,-77.71118397,"VABR","E1","Sprayed","2018",63,179,171,211,63,5.51704347826087,0,NA,3
"E1-4",17,"17-30",45.02376,-79.31190301,"ONBB","E1","Sprayed","2018",133.5,211,179,211,128,22.5370434782609,0.6,NA,5
"E1-40",4,"4-46",40.06813,-76.90717204,"PAGP","E1","Sprayed","2018",108.5,190,171,211,109.5,9.82704347826087,0,NA,5
"E1-41",19,"19-70",47.73136,-80.32791398,"ONEL","E1","Sprayed","2018",89,179,171,211,88,22.4170434782609,0,NA,5
"E1-42",15,"15-39",44.2915,-79.04909003,"ONBV","E1","Sprayed","2018",96,190,179,211,96.5,3.61704347826087,0.333333333333333,NA,3
"E1-43",16,"16-59",44.75284,-79.33799797,"ONWA","E1","Sprayed","2018",106,190,171,211,103.5,17.3170434782609,0.375,NA,8
"E1-44",20,"20-73",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",110,197,184,211,111,1.74704347826087,0,NA,1
"E1-45",8,"8-43",41.97527,-75.19598002,"NYEB","E1","Sprayed","2018",110,190,179,211,108,11.5170434782609,0.5,NA,4
"E1-46",19,"19-25",47.73136,-80.32791398,"ONEL","E1","Sprayed","2018",88,179,171,211,85.5,8.23704347826087,0,NA,4
"E1-47",5,"5-50",41.42692,-75.63466896,"PASC","E1","Sprayed","2018",99,197,184,211,96,3.20704347826087,0.4,NA,5
"E1-48",13,"13-61",44.6076,-76.27898502,"ONCQ","E1","Sprayed","2018",116,197,179,211,116,19.8370434782609,0,NA,4
"E1-49",22,"22-24",46.75552,-79.04650404,"QCTM","E1","Sprayed","2018",97,184,171,211,97,15.5170434782609,0,NA,4
"E1-5",12,"12-75",44.54749,-76.12868903,"ONLY","E1","Sprayed","2018",96,190,171,211,95.5,14.3970434782609,0,NA,6
"E1-50",20,"20-50",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",104,211,184,211,103,2.71704347826087,0.6,NA,5
"E1-51",10,"10-2",43.69717,-76.19529499,"NYLV","E1","Sprayed","2018",125.5,197,184,211,125.5,18.6770434782609,0.2,NA,5
"E1-52",22,"22-11",46.75552,-79.04650404,"QCTM","E1","Sprayed","2018",94.5,197,179,211,93.5,2.71704347826087,0.2,NA,5
"E1-53",6,"6-5",41.57154,-74.48428896,"NYWU","E1","Sprayed","2018",100,179,171,211,96,19.0770434782609,0,NA,5
"E1-54",14,"14-72",44.29771,-78.300041,"ONPB","E1","Sprayed","2018",113,190,179,211,114,4.08704347826087,0.4,NA,5
"E1-55",9,"9-27",42.79109,-76.135327,"NYTY","E1","Sprayed","2018",82,184,171,211,80,8.22704347826087,0,NA,6
"E1-56",11,"11-68",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",97,190,179,211,96.5,7.32704347826087,0.4,NA,5
"E1-57",11,"11-15",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",146,211,190,218,144.5,4.90704347826087,0,NA,4
"E1-58",20,"20-47",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",93,190,171,211,93.5,9.24704347826087,0.375,NA,8
"E1-59",9,"9-35",42.79109,-76.135327,"NYTY","E1","Sprayed","2018",75,190,179,211,74.5,1.65704347826087,0.333333333333333,NA,3
"E1-6",17,"17-59",45.02376,-79.31190301,"ONBB","E1","Sprayed","2018",138,190,179,211,138,6.19704347826087,0,NA,4
"E1-60",13,"13-60",44.6076,-76.27898502,"ONCQ","E1","Sprayed","2018",135.5,190,171,211,134.5,14.9170434782609,0,NA,5
"E1-61",4,"4-80",40.06813,-76.90717204,"PAGP","E1","Sprayed","2018",116,190,179,211,114,27.6170434782609,0,NA,6
"E1-62",10,"10-8",43.69717,-76.19529499,"NYLV","E1","Sprayed","2018",143,197,184,211,144,12.8770434782609,0,NA,2
"E1-64",19,"19-40",47.73136,-80.32791398,"ONEL","E1","Sprayed","2018",89,184,171,211,88.5,6.52704347826087,0,NA,4
"E1-65",16,"16-79",44.75284,-79.33799797,"ONWA","E1","Sprayed","2018",123,190,179,211,124.5,9.65704347826087,0,NA,4
"E1-66",17,"17-1",45.02376,-79.31190301,"ONBB","E1","Sprayed","2018",116,190,171,211,116,8.74704347826087,0.666666666666667,NA,3
"E1-67",17,"17-65",45.02376,-79.31190301,"ONBB","E1","Sprayed","2018",98.5,190,171,211,97,3.71704347826087,0.2,NA,5
"E1-68",13,"13-37",44.6076,-76.27898502,"ONCQ","E1","Sprayed","2018",112,184,171,211,112.5,15.7670434782609,0,NA,4
"E1-69",18,"18-80",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",103,190,179,211,104,8.19704347826087,0,NA,5
"E1-7",9,"9-72",42.79109,-76.135327,"NYTY","E1","Sprayed","2018",75,184,171,211,75.5,10.0070434782609,0.333333333333333,NA,3
"E1-70",14,"14-9",44.29771,-78.300041,"ONPB","E1","Sprayed","2018",114,184,171,211,115,13.1870434782609,0.25,NA,4
"E1-71",1,"1-59",38.8235,-77.71118397,"VABR","E1","Sprayed","2018",154.5,211,190,218,156,19.6770434782609,0.333333333333333,NA,3
"E1-72",11,"11-30",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",109,190,179,218,109.5,10.3770434782609,0,NA,4
"E1-73",16,"16-38",44.75284,-79.33799797,"ONWA","E1","Sprayed","2018",121,190,179,211,125.5,13.7470434782609,0,NA,3
"E1-74",2,"2-19",38.7966,-77.29988901,"VAFF","E1","Sprayed","2018",134,218,184,218,129,1.49704347826087,0.2,NA,5
"E1-75",18,"18-30",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",126,190,179,211,126,14.8270434782609,0.5,NA,4
"E1-76",20,"20-30",48.10384,-80.19977597,"ONKE","E1","Sprayed","2018",134,184,179,211,136,11.9870434782609,0,NA,1
"E1-77",11,"11-63",43.28958,-76.128568,"NYWM","E1","Sprayed","2018",113.5,190,179,211,113,5.10704347826087,0,NA,2
"E1-78",18,"18-69",45.76868,-79.39777502,"ONSU","E1","Sprayed","2018",103,190,179,211,104,9.54704347826087,0.2,NA,5
