"","Ind","Treatment","LAT","POP","FAM","FT","FlwrVeg","PC1_avg","PC2_avg","PC1_skew","PC2_skew","PC1_var","PC2_var","Fit","Dam"
"346","E10-51","Sprayed",46.75552,"22","22-45",601,111.166666666667,0.163410800784496,0.593407183716661,-0.045425234483575,-0.754503971479926,0.217308495880324,1.33561609929307,65.0906590717376,0.414351851851852
"347","E10-52","Sprayed",46.75552,"22","22-57",576.416666666667,95.3333333333333,-0.41269273005674,0.219321770760644,0.545561985882576,-0.97346404231618,0.223709876841545,1.28940560939986,19.0056590717376,0.277777777777778
"348","E10-53","Sprayed",44.54749,"12","12-69",523.466666666667,86.8333333333333,-0.885306687404718,0.181834295122609,0.281274088645931,-0.700301714692064,0.0615616383133826,1.38833093729753,36.1606590717376,0.294444444444445
"349","E10-54","Sprayed",44.6076,"13","13-26",585.8,82.1666666666667,-0.769216646705491,-0.214311434274547,-0.128483825827103,-0.820309596191142,0.353353584811748,1.51400877157188,15.8056590717376,0.0952380952380952
"350","E10-55","Sprayed",48.10384,"20","20-23",500.766666666667,84.75,-1.0410898557347,0.212592602426577,0.852828475917498,-0.787651400060639,0.156789792635065,1.81100860309634,14.9606590717376,0.25
"351","E10-56","Sprayed",40.06813,"4","4-73",538.466666666667,106.166666666667,-0.243558686109944,0.700317004148647,0.811904204979157,-0.835167350625692,0.0118188596995969,0.866189285405366,53.1406590717376,0.383809523809524
"352","E10-57","Sprayed",38.7966,"2","2-19",693.258888888889,94.0833333333333,0.0298861673556721,-0.298272043266984,0.0850216404733302,-0.587107674514656,0.310752787759958,0.920671688583123,4.36565907173761,0.4
"353","E10-58","Sprayed",38.8235,"1","1-71",791.775555555555,130.166666666667,1.51739098750844,0.379653729549909,-0.285129683617136,-0.113322109632593,0.248389900309837,1.10734330956499,24.2956590717376,0.404761904761905
"354","E10-59","Sprayed",38.7966,"2","2-7",855.858888888889,127.333333333333,1.69568244244143,0.0313284636218232,-0.582037740556889,-0.732544089343569,0.285976756585045,0.876067204122551,26.447717895267,0.25
"355","E10-6","Sprayed",45.76868,"18","18-2",585.766666666667,86.5,-0.63932775267441,-0.0841486173716625,1.10919408390277,-0.179108143583255,0.196611564427673,1.35277407057493,30.0006590717376,0.25
"356","E10-60","Sprayed",44.75284,"16","16-70",557.516666666667,72.5,-1.17548610260826,-0.388157333532241,0.27960596861599,-0.446753344161717,0.57275342837837,0.720074886091032,22.6006590717376,0.319444444444444
"357","E10-61","Sprayed",48.10384,"20","20-47",572.383333333333,82.6666666666667,-0.809340641313888,-0.144181473019963,-0.17955774421891,-0.422217851186235,0.182971324815889,2.61977301528094,20.1306590717376,0.533333333333333
"358","E10-62","Sprayed",45.02376,"17","17-13",659.04,115.4,0.528913311696962,0.481955190409089,-1.08183643281448,-0.754255728744194,0.17650772500932,1.09391705162222,7.58431291789145,0.375
