"Ind","FVeg","Year","POP","FAM","LAT","LON","POPNAME","BLOCK","Treatment","FT","BT","FertT","FT_GDD10","FT_GDD5","BT_GDD10","BT_GDD5","FertT_GDD10","FertT_GDD5","FlwrVeg","FlwrVeg_GDD10","FlwrVeg_GDD5","Weight","PropDam","OH","StemTotal"
"E1-147",91,"2018",8,"8-58",41.97527,-75.19598002,"NYEB","E1","Sprayed",197,184,211,627.8,1054.5,462.5,824.2,797.4,1294.1,89.5,89.5,89.5,2.00704347826087,0,NA,3
"E1-148",125,"2018",8,"8-32",41.97527,-75.19598002,"NYEB","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,124,124,124,22.5670434782609,0.142857142857143,NA,7
"E1-149",139,"2018",10,"10-30",43.69717,-76.19529499,"NYLV","E1","Sprayed",197,179,211,627.8,1054.5,386,722.7,797.4,1294.1,138,138,138,15.1370434782609,0,NA,5
"E1-15",105.5,"2018",1,"1-47",38.8235,-77.71118397,"VABR","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,102.5,102.5,102.5,7.36704347826087,0.5,NA,2
"E1-150",118,"2018",5,"5-14",41.42692,-75.63466896,"PASC","E1","Sprayed",211,190,211,797.4,1294.1,533.4,925.1,797.4,1294.1,119,119,119,1.12704347826087,0.25,NA,4
"E1-151",121,"2018",12,"12-36",44.54749,-76.12868903,"ONLY","E1","Sprayed",211,184,211,797.4,1294.1,462.5,824.2,797.4,1294.1,115,115,115,3.34704347826087,0.2,NA,5
"E1-152",107,"2018",13,"13-47",44.6076,-76.27898502,"ONCQ","E1","Sprayed",190,171,211,533.4,925.1,324.3,621,797.4,1294.1,110,110,110,12.0270434782609,0.166666666666667,NA,6
"E1-153",105,"2018",22,"22-57",46.75552,-79.04650404,"QCTM","E1","Sprayed",211,184,211,797.4,1294.1,462.5,824.2,797.4,1294.1,105,105,105,8.54704347826087,0.1,NA,10
"E1-154",119.5,"2018",1,"1-71",38.8235,-77.71118397,"VABR","E1","Sprayed",211,190,218,797.4,1294.1,533.4,925.1,895.6,1427.3,119.5,119.5,119.5,2.31704347826087,0,NA,6
"E1-155",105.5,"2018",10,"10-37",43.69717,-76.19529499,"NYLV","E1","Sprayed",190,179,211,533.4,925.1,386,722.7,797.4,1294.1,103.5,103.5,103.5,18.7970434782609,0.166666666666667,NA,6
