"ind","pop","fam","lat","lon"
"E2-115","1","71",38.8235,-77.71118397
"E2-116","22","46",46.75552,-79.04650404
"E2-117","19","70",47.73136,-80.32791398
"E2-118","2","46",38.7966,-77.29988901
"E2-119","12","52",44.54749,-76.12868903
"E2-120","10","2",43.69717,-76.19529499
"E2-121","13","33",44.6076,-76.27898502
"E2-122","17","70",45.02376,-79.31190301
"E2-123","22","48",46.75552,-79.04650404
"E2-124","4","64",40.06813,-76.90717204
"E2-125","3","24",40.23327,-77.280415
"E2-126","12","3",44.54749,-76.12868903
"E2-127","13","2",44.6076,-76.27898502
"E2-128","8","63",41.97527,-75.19598002
"E2-129","6","56",41.57154,-74.48428896
"E2-130","16","59",44.75284,-79.33799797
"E2-131","3","31",40.23327,-77.280415
"E2-132","3","76",40.23327,-77.280415
"E2-133","1","64",38.8235,-77.71118397
"E2-134","2","74",38.7966,-77.29988901
"E2-135","6","55",41.57154,-74.48428896
"E2-136","5","14",41.42692,-75.63466896
"E2-137","8","36",41.97527,-75.19598002
"E2-138","16","38",44.75284,-79.33799797
"E2-139","4","66",40.06813,-76.90717204
"E2-140","10","80",43.69717,-76.19529499
"E2-141","20","5",48.10384,-80.19977597
"E2-142","4","80",40.06813,-76.90717204
"E2-143","11","46",43.28958,-76.128568
"E2-144","20","7",48.10384,-80.19977597
"E2-145","14","16",44.29771,-78.300041
"E2-146","13","26",44.6076,-76.27898502
"E2-147","2","77",38.7966,-77.29988901
"E2-148","15","39",44.2915,-79.04909003
"E2-149","15","72",44.2915,-79.04909003
"E2-150","17","21",45.02376,-79.31190301
"E2-151","17","13",45.02376,-79.31190301
"E2-152","20","30",48.10384,-80.19977597
"E2-153","13","60",44.6076,-76.27898502
"E2-154","20","23",48.10384,-80.19977597
"E2-155","13","53",44.6076,-76.27898502
"E2-156","10","37",43.69717,-76.19529499
"E2-157","6","65",41.57154,-74.48428896
"E2-158","15","56",44.2915,-79.04909003
"E2-159","8","75",41.97527,-75.19598002
"E2-160","14","9",44.29771,-78.300041
"E2-161","20","73",48.10384,-80.19977597
"E2-162","4","65",40.06813,-76.90717204
"E2-163","17","1",45.02376,-79.31190301
"E2-164","2","35",38.7966,-77.29988901
"E2-165","10","54",43.69717,-76.19529499
"E2-166","9","72",42.79109,-76.135327
"E2-167","14","20",44.29771,-78.300041
"E2-168","15","22",44.2915,-79.04909003
"E2-169","12","6",44.54749,-76.12868903
"E2-170","12","68",44.54749,-76.12868903
"E2-171","15","7",44.2915,-79.04909003
"E2-172","12","22",44.54749,-76.12868903
"E2-173","17","48",45.02376,-79.31190301
"E2-174","1","59",38.8235,-77.71118397
"E2-175","1","7",38.8235,-77.71118397
"E2-176","11","15",43.28958,-76.128568
"E2-177","22","57",46.75552,-79.04650404
"E2-178","22","45",46.75552,-79.04650404
"E2-179","12","47",44.54749,-76.12868903
"E2-180","19","38",47.73136,-80.32791398
"E2-181","22","15",46.75552,-79.04650404
"E2-182","18","69",45.76868,-79.39777502
"E2-183","16","66",44.75284,-79.33799797
"E2-184","20","37",48.10384,-80.19977597
"E2-185","1","20",38.8235,-77.71118397
"E2-186","8","14",41.97527,-75.19598002
"E2-187","3","53",40.23327,-77.280415
"E2-188","12","75",44.54749,-76.12868903
"E2-189","4","73",40.06813,-76.90717204
"E2-190","22","24",46.75552,-79.04650404
"E2-191","16","52",44.75284,-79.33799797
"E2-192","18","22",45.76868,-79.39777502
"E2-193","15","14",44.2915,-79.04909003
"E2-194","19","26",47.73136,-80.32791398
"E2-195","1","12",38.8235,-77.71118397
"E2-196","19","25",47.73136,-80.32791398
"E2-197","4","26",40.06813,-76.90717204
"E2-198","18","77",45.76868,-79.39777502
"E2-199","6","20",41.57154,-74.48428896
"E2-200","13","61",44.6076,-76.27898502
"E2-201","10","30",43.69717,-76.19529499
"E2-202","16","5",44.75284,-79.33799797
"E2-203","18","50",45.76868,-79.39777502
"E2-204","8","59",41.97527,-75.19598002
"E2-205","14","70",44.29771,-78.300041
"E3-1","10","62",43.69717,-76.19529499
"E3-2","16","70",44.75284,-79.33799797
"E3-3","17","48",45.02376,-79.31190301
"E3-4","22","15",46.75552,-79.04650404
"E3-5","14","79",44.29771,-78.300041
"E3-6","6","56",41.57154,-74.48428896
"E3-7","8","58",41.97527,-75.19598002
"E3-8","4","46",40.06813,-76.90717204
