"ind","FFDAYS","FLOWER"
"E11-117",193,TRUE
"E11-118",186,TRUE
"E11-119",193,TRUE
"E11-12",178,TRUE
"E11-120",193,TRUE
"E11-121",213,TRUE
"E11-122",213,TRUE
"E11-123",193,TRUE
"E11-124",213,TRUE
"E11-125",213,TRUE
"E11-126",186,TRUE
"E11-127",213,TRUE
"E11-128",186,TRUE
"E11-129",213,TRUE
"E11-13",213,TRUE
"E11-130",186,TRUE
"E11-131",186,TRUE
"E11-132",213,TRUE
"E11-133",NA,FALSE
"E11-134",NA,FALSE
"E11-135",186,TRUE
"E11-136",178,TRUE
"E11-137",186,TRUE
"E11-138",193,TRUE
"E11-139",200,TRUE
"E11-14",200,TRUE
"E11-140",178,TRUE
"E11-141",213,TRUE
"E11-142",222,TRUE
"E11-143",200,TRUE
"E11-144",186,TRUE
"E11-145",233,TRUE
"E11-146",200,TRUE
"E11-147",193,TRUE
"E11-148",186,TRUE
"E11-149",193,TRUE
"E11-15",200,TRUE
"E11-150",193,TRUE
"E11-151",186,TRUE
"E11-152",213,TRUE
"E11-153",NA,FALSE
"E11-154",213,TRUE
"E11-155",193,TRUE
"E11-156",213,TRUE
"E11-157",213,TRUE
"E11-158",213,TRUE
"E11-159",213,TRUE
"E11-16",200,TRUE
"E11-160",186,TRUE
"E11-161",193,TRUE
"E11-162",193,TRUE
"E11-163",200,TRUE
"E11-164",213,TRUE
"E11-165",222,TRUE
"E11-166",193,TRUE
"E11-167",NA,FALSE
"E11-168",193,TRUE
"E11-169",227,TRUE
"E11-17",NA,FALSE
"E11-170",200,TRUE
"E11-171",213,TRUE
"E11-172",193,TRUE
"E11-173",213,TRUE
"E11-174",213,TRUE
"E11-175",186,TRUE
"E11-176",200,TRUE
"E11-177",186,TRUE
"E11-178",213,TRUE
"E11-179",200,TRUE
"E11-18",200,TRUE
"E11-180",213,TRUE
"E11-181",200,TRUE
"E11-182",186,TRUE
"E11-183",200,TRUE
"E11-184",200,TRUE
"E11-185",213,TRUE
"E11-186",213,TRUE
"E11-187",213,TRUE
"E11-188",193,TRUE
"E11-189",213,TRUE
"E11-19",193,TRUE
"E11-190",186,TRUE
"E11-191",200,TRUE
"E11-192",193,TRUE
"E11-193",186,TRUE
"E11-194",222,TRUE
"E11-195",213,TRUE
"E11-196",193,TRUE
"E11-197",186,TRUE
"E11-198",178,TRUE
"E11-199",186,TRUE
"E11-2",186,TRUE
"E11-20",193,TRUE
"E11-200",193,TRUE
"E11-201",186,TRUE
"E11-21",186,TRUE
"E11-22",200,TRUE
"E11-23",193,TRUE
"E11-24",222,TRUE
"E11-25",213,TRUE
"E11-26",193,TRUE
"E11-27",213,TRUE
"E11-28",213,TRUE
"E11-29",200,TRUE
"E11-3",186,TRUE
"E11-30",193,TRUE
"E11-31",NA,FALSE
"E11-32",193,TRUE
"E11-33",186,TRUE
"E11-34",186,TRUE
"E11-35",178,TRUE
"E11-36",186,TRUE
"E11-37",213,TRUE
"E11-38",200,TRUE
"E11-39",186,TRUE
"E11-4",186,TRUE
"E11-40",213,TRUE
"E11-41",200,TRUE
"E11-42",213,TRUE
"E11-43",193,TRUE
"E11-44",193,TRUE
"E11-45",193,TRUE
"E11-46",200,TRUE
"E11-47",NA,FALSE
"E11-48",200,TRUE
"E11-49",178,TRUE
"E11-5",186,TRUE
"E11-50",222,TRUE
"E11-51",193,TRUE
"E11-52",178,TRUE
"E11-53",186,TRUE
"E11-54",193,TRUE
"E11-55",178,TRUE
"E11-56",186,TRUE
"E11-57",171,TRUE
"E11-58",186,TRUE
"E11-59",213,TRUE
"E11-6",186,TRUE
"E11-60",222,TRUE
"E11-61",178,TRUE
"E11-62",200,TRUE
"E11-63",193,TRUE
"E11-64",178,TRUE
"E11-65",193,TRUE
"E11-66",193,TRUE
"E11-67",178,TRUE
"E11-68",171,TRUE
"E11-69",NA,FALSE
"E11-7",200,TRUE
"E11-70",186,TRUE
"E11-71",213,TRUE
"E11-72",222,TRUE
"E11-73",200,TRUE
"E11-74",200,TRUE
"E11-75",NA,FALSE
"E11-76",213,TRUE
"E11-77",NA,FALSE
"E11-78",186,TRUE
"E11-79",193,TRUE
"E11-8",193,TRUE
"E11-80",193,TRUE
"E11-81",200,TRUE
"E11-82",193,TRUE
"E11-83",213,TRUE
"E11-84",213,TRUE
"E11-85",213,TRUE
"E11-86",186,TRUE
"E11-87",193,TRUE
"E11-88",193,TRUE
"E11-89",186,TRUE
"E11-9",200,TRUE
"E11-90",193,TRUE
"E11-91",186,TRUE
"E11-92",200,TRUE
"E11-93",186,TRUE
"E11-94",186,TRUE
"E11-95",178,TRUE
"E11-96",NA,FALSE
"E11-97",193,TRUE
"E11-98",193,TRUE
"E11-99",200,TRUE
"E12-1",185,TRUE
"E12-10",178,TRUE
"E12-100",200,TRUE
"E12-101",185,TRUE
"E12-102",193,TRUE
"E12-103",185,TRUE
"E12-104",178,TRUE
"E12-105",178,TRUE
"E12-106",185,TRUE
"E12-107",193,TRUE
"E12-108",213,TRUE
"E12-109",193,TRUE
"E12-11",171,TRUE
"E12-110",193,TRUE
"E12-111",193,TRUE
"E12-112",193,TRUE
"E12-113",193,TRUE
"E12-114",193,TRUE
"E12-115",185,TRUE
"E12-116",193,TRUE
"E12-117",193,TRUE
"E12-118",185,TRUE
"E12-119",185,TRUE
"E12-12",193,TRUE
"E12-120",178,TRUE
"E12-121",185,TRUE
"E12-122",193,TRUE
"E12-123",178,TRUE
"E12-124",193,TRUE
"E12-125",200,TRUE
"E12-126",213,TRUE
"E12-127",178,TRUE
"E12-128",193,TRUE
"E12-129",200,TRUE
"E12-13",193,TRUE
"E12-130",171,TRUE
"E12-131",200,TRUE
"E12-132",193,TRUE
"E12-133",193,TRUE
"E12-134",185,TRUE
"E12-135",185,TRUE
"E12-136",200,TRUE
"E12-137",193,TRUE
"E12-138",185,TRUE
"E12-139",185,TRUE
"E12-14",193,TRUE
"E12-140",200,TRUE
"E12-141",185,TRUE
"E12-142",185,TRUE
"E12-143",200,TRUE
"E12-144",213,TRUE
"E12-145",185,TRUE
"E12-146",193,TRUE
"E12-147",193,TRUE
"E12-148",178,TRUE
"E12-149",185,TRUE
"E12-15",193,TRUE
"E12-150",171,TRUE
"E12-151",193,TRUE
"E12-152",227,TRUE
"E12-153",193,TRUE
"E12-154",200,TRUE
"E12-155",213,TRUE
"E12-156",193,TRUE
"E12-157",200,TRUE
"E12-158",200,TRUE
"E12-159",234,TRUE
"E12-16",185,TRUE
"E12-160",193,TRUE
"E12-161",178,TRUE
"E12-162",213,TRUE
"E12-163",193,TRUE
"E12-164",222,TRUE
"E12-165",185,TRUE
"E12-166",171,TRUE
"E12-167",222,TRUE
"E12-168",185,TRUE
"E12-169",178,TRUE
"E12-17",185,TRUE
"E12-170",193,TRUE
"E12-171",185,TRUE
"E12-172",193,TRUE
"E12-173",200,TRUE
"E12-174",185,TRUE
"E12-175",178,TRUE
"E12-176",178,TRUE
"E12-177",193,TRUE
"E12-178",185,TRUE
"E12-179",213,TRUE
"E12-18",193,TRUE
"E12-180",185,TRUE
"E12-181",193,TRUE
"E12-182",193,TRUE
"E12-183",213,TRUE
"E12-184",178,TRUE
"E12-185",185,TRUE
"E12-186",193,TRUE
"E12-187",193,TRUE
"E12-188",193,TRUE
"E12-189",185,TRUE
"E12-19",NA,FALSE
"E12-190",178,TRUE
"E12-191",178,TRUE
"E12-192",193,TRUE
"E12-193",185,TRUE
"E12-194",178,TRUE
"E12-195",185,TRUE
"E12-196",178,TRUE
"E12-197",NA,FALSE
"E12-198",178,TRUE
"E12-199",213,TRUE
