"date.dmg","ind","block","pos","dmg.score","dmg.pstems","treatment","ind.month","weight.raw","weight.adj","weight.rel","pop","fam","pfam","lat","lon","date.heights","veg","bud","months","first.flower","FLOWER"
"19-Jun-19","E4-58","E4","58",1,0.4,"control","E4-58-Jun",30.9,1.85417,0.33535229513028,"9","49","9-49",42.79109,-76.135327,"2019-06-17",67.5,NA,"Jun",220,TRUE
"19-Jun-19","E4-59","E4","59",1,0,"control","E4-59-Jun",31.34,2.29417,0.414932382100366,"5","74","5-74",41.42692,-75.63466896,"2019-06-17",72,NA,"Jun",212,TRUE
"19-Jun-19","E4-60","E4","60",1,0,"control","E4-60-Jun",NA,NA,NA,"2","46","2-46",38.7966,-77.29988901,"2019-06-17",57.5,NA,"Jun",272,TRUE
"19-Jun-19","E4-61","E4","61",2,0,"control","E4-61-Jun",36.45,7.40417,1.33914657395749,"18","22","18-22",45.76868,-79.39777502,"2019-06-17",85,NA,"Jun",184,TRUE
"19-Jun-19","E4-62","E4","62",1,0.714285714285714,"control","E4-62-Jun",35.15,6.10417,1.1040235897277,"12","6","12-6",44.54749,-76.12868903,"2019-06-17",65,NA,"Jun",197,TRUE
"19-Jun-19","E4-63","E4","63",1,0.5,"control","E4-63-Jun",30.96,1.91417,0.346204125171656,"11","15","11-15",43.28958,-76.128568,"2019-06-17",56,NA,"Jun",225,TRUE
"19-Jun-19","E4-64","E4","64",1,0.333333333333333,"control","E4-64-Jun",30.23,1.18417,0.214173526334923,"2","35","2-35",38.7966,-77.29988901,"2019-06-17",70.5,NA,"Jun",225,TRUE
"19-Jun-19","E4-65","E4","65",2,0,"control","E4-65-Jun",NA,NA,NA,"6","20","6-20",41.57154,-74.48428896,"2019-06-17",52.5,NA,"Jun",212,TRUE
"19-Jun-19","E4-66","E4","66",3,0.166666666666667,"control","E4-66-Jun",32.44,3.39417,0.613882599525579,"15","42","15-42",44.2915,-79.04909003,"2019-06-17",75,NA,"Jun",220,TRUE
"19-Jun-19","E4-67","E4","67",2,0.333333333333333,"control","E4-67-Jun",NA,NA,NA,"1","71","1-71",38.8235,-77.71118397,"2019-06-17",59,NA,"Jun",NA,FALSE
"19-Jun-19","E4-68","E4","68",1,0,"control","E4-68-Jun",33.34,4.29417,0.776660050146209,"14","30","14-30",44.29771,-78.300041,"2019-06-17",52,53,"Jun",186,TRUE
"19-Jun-19","E4-69","E4","69",1,0.166666666666667,"control","E4-69-Jun",32.62,3.57417,0.646438089649705,"15","13","15-13",44.2915,-79.04909003,"2019-06-17",46.5,NA,"Jun",220,TRUE
"19-Jun-19","E4-70","E4","70",1,0.333333333333333,"control","E4-70-Jun",29.19,0.144170000000003,0.0260751389510851,"17","30","17-30",45.02376,-79.31190301,"2019-06-17",50,NA,"Jun",272,TRUE
"19-Jun-19","E4-71","E4","71",1,0.444444444444444,"control","E4-71-Jun",34.74,5.69417,1.0298694177783,"4","73","4-73",40.06813,-76.90717204,"2019-06-17",74,NA,"Jun",212,TRUE
"19-Jun-19","E4-72","E4","72",2,0,"control","E4-72-Jun",34.34,5.29417,0.95752388416913,"22","32","22-32",46.75552,-79.04650404,"2019-06-17",52,NA,"Jun",220,TRUE
"19-Jun-19","E4-73","E4","73",3,0.333333333333333,"control","E4-73-Jun",29.36,0.314170000000001,0.0568219907349814,"3","31","3-31",40.23327,-77.280415,"2019-06-17",75,NA,"Jun",NA,FALSE
"19-Jun-19","E4-74","E4","74",2,0.285714285714286,"control","E4-74-Jun",31.36,2.31417,0.418549658780824,"3","45","3-45",40.23327,-77.280415,"2019-06-17",58.5,NA,"Jun",272,TRUE
"19-Jun-19","E4-75","E4","75",2,0.666666666666667,"control","E4-75-Jun",31.01,1.96417,0.355247316872802,"14","39","14-39",44.29771,-78.300041,"2019-06-17",50,NA,"Jun",225,TRUE
"19-Jun-19","E4-76","E4","76",1,0,"control","E4-76-Jun",30.58,1.53417,0.277475868242945,"2","25","2-25",38.7966,-77.29988901,"2019-06-17",44.5,NA,"Jun",NA,FALSE
"19-Jun-19","E4-77","E4","77",2,0.1,"control","E4-77-Jun",29.52,0.474170000000001,0.0857602041786489,"12","52","12-52",44.54749,-76.12868903,"2019-06-17",54,NA,"Jun",204,TRUE
"19-Jun-19","E4-78","E4","78",2,0.666666666666667,"control","E4-78-Jun",30.87,1.82417,0.329926380109593,"3","75","3-75",40.23327,-77.280415,"2019-06-17",56.5,NA,"Jun",272,TRUE
"19-Jun-19","E4-79","E4","79",3,0.111111111111111,"control","E4-79-Jun",33.68,4.63417,0.838153753714002,"15","23","15-23",44.2915,-79.04909003,"2019-06-17",61,NA,"Jun",212,TRUE
