"ind","block","individual","date","surveyor","stem_length","bud_length","flower_length","fruit_length","note","stem_switch","cdate","round"
"E1-118","E1",118,2018-06-20,"N/A",85,NA,NA,NA,"","","2018-06-20","1"
"E1-119","E1",119,2018-06-20,"N/A",97.5,NA,NA,NA,"","","2018-06-20","1"
"E1-120","E1",120,2018-06-20,"N/A",90,NA,NA,NA,"","","2018-06-20","1"
"E1-121","E1",121,2018-06-20,"N/A",76.5,NA,NA,NA,"","","2018-06-20","1"
"E1-122","E1",122,2018-06-20,"N/A",61,NA,NA,NA,"","","2018-06-20","1"
"E1-123","E1",123,2018-06-20,"N/A",71,NA,NA,NA,"","","2018-06-20","1"
"E1-124","E1",124,2018-06-20,"N/A",64,NA,NA,NA,"","","2018-06-20","1"
"E1-125","E1",125,2018-06-20,"N/A",102.5,NA,NA,NA,"","","2018-06-20","1"
"E1-126","E1",126,2018-06-20,"N/A",62.5,NA,NA,NA,"","","2018-06-20","1"
"E1-127","E1",127,2018-06-20,"N/A",52,NA,NA,NA,"","","2018-06-20","1"
"E1-128","E1",128,2018-06-20,"N/A",71,79.5,NA,NA,"","","2018-06-20","1"
"E1-129","E1",129,2018-06-20,"N/A",67,NA,NA,NA,"","","2018-06-20","1"
"E1-130","E1",130,2018-06-20,"N/A",83,NA,NA,NA,"","","2018-06-20","1"
"E1-131","E1",131,2018-06-20,"N/A",63,64,NA,NA,"","","2018-06-20","1"
"E1-132","E1",132,2018-06-20,"N/A",76,NA,NA,NA,"","","2018-06-20","1"
"E1-133","E1",133,2018-06-20,"N/A",97,99,NA,NA,"","","2018-06-20","1"
"E1-134","E1",134,2018-06-20,"N/A",96,NA,NA,NA,"","","2018-06-20","1"
"E1-135","E1",135,2018-06-20,"N/A",89,NA,NA,NA,"","","2018-06-20","1"
"E1-136","E1",136,2018-06-20,"N/A",107,110.5,NA,NA,"","","2018-06-20","1"
"E1-137","E1",137,2018-06-20,"N/A",67,71.5,NA,NA,"","","2018-06-20","1"
"E1-138","E1",138,2018-06-20,"N/A",78,NA,NA,NA,"","","2018-06-20","1"
"E1-139","E1",139,2018-06-20,"N/A",78,79,NA,NA,"","","2018-06-20","1"
"E1-140","E1",140,2018-06-20,"N/A",79,NA,NA,NA,"","","2018-06-20","1"
"E1-141","E1",141,2018-06-20,"N/A",98,NA,NA,NA,"","","2018-06-20","1"
"E1-142","E1",142,2018-06-20,"N/A",99,103.5,NA,NA,"","","2018-06-20","1"
"E1-143","E1",143,2018-06-20,"N/A",92,NA,NA,NA,"","","2018-06-20","1"
"E1-144","E1",144,2018-06-20,"N/A",109,110,NA,NA,"","","2018-06-20","1"
"E1-145","E1",145,2018-06-20,"N/A",109,NA,NA,NA,"","","2018-06-20","1"
"E1-146","E1",146,2018-06-20,"N/A",84,NA,NA,NA,"","","2018-06-20","1"
"E1-147","E1",147,2018-06-20,"N/A",52,NA,NA,NA,"","","2018-06-20","1"
"E1-148","E1",148,2018-06-20,"N/A",102,NA,NA,NA,"","","2018-06-20","1"
"E1-149","E1",149,2018-06-20,"N/A",101,NA,NA,NA,"","","2018-06-20","1"
"E1-150","E1",150,2018-06-20,"N/A",76,NA,NA,NA,"","","2018-06-20","1"
"E1-151","E1",151,2018-06-20,"N/A",73,NA,NA,NA,"","","2018-06-20","1"
"E1-152","E1",152,2018-06-20,"N/A",94,94.5,NA,NA,"","","2018-06-20","1"
"E1-153","E1",153,2018-06-20,"N/A",71,NA,NA,NA,"","","2018-06-20","1"
"E1-154","E1",154,2018-06-20,"N/A",72,NA,NA,NA,"","","2018-06-20","1"
"E1-155","E1",155,2018-06-20,"N/A",80,NA,NA,NA,"","","2018-06-20","1"
"E1-156","E1",156,2018-06-20,"N/A",40,NA,NA,NA,"","","2018-06-20","1"
"E1-157","E1",157,2018-06-20,"N/A",75,76,NA,NA,"","","2018-06-20","1"
"E1-158","E1",158,2018-06-20,"N/A",83,NA,NA,NA,"","","2018-06-20","1"
"E1-159","E1",159,2018-06-20,"N/A",74,NA,NA,NA,"","","2018-06-20","1"
"E1-160","E1",160,2018-06-20,"N/A",86,NA,NA,NA,"","","2018-06-20","1"
"E1-161","E1",161,2018-06-20,"N/A",65,NA,NA,NA,"","","2018-06-20","1"
"E1-162","E1",162,2018-06-20,"N/A",64,NA,NA,NA,"","","2018-06-20","1"
"E1-163","E1",163,2018-06-20,"N/A",85,95,NA,NA,"","","2018-06-20","1"
"E1-164","E1",164,2018-06-20,"N/A",57,NA,NA,NA,"","","2018-06-20","1"
"E1-165","E1",165,2018-06-20,"N/A",80,81.5,NA,NA,"","","2018-06-20","1"
"E1-166","E1",166,2018-06-20,"N/A",66.5,NA,NA,NA,"","","2018-06-20","1"
"E1-167","E1",167,2018-06-20,"N/A",53,NA,NA,NA,"","","2018-06-20","1"
"E1-168","E1",168,2018-06-20,"N/A",112,115,NA,NA,"","","2018-06-20","1"
"E1-169","E1",169,2018-06-20,"N/A",92,93.5,NA,NA,"","","2018-06-20","1"
"E1-170","E1",170,2018-06-20,"N/A",92,94,NA,NA,"","","2018-06-20","1"
"E1-171","E1",171,2018-06-20,"N/A",59,NA,NA,NA,"","","2018-06-20","1"
"E1-172","E1",172,2018-06-20,"N/A",70,NA,NA,NA,"","","2018-06-20","1"
"E1-173","E1",173,2018-06-20,"N/A",103,109.5,NA,NA,"","","2018-06-20","1"
"E1-174","E1",174,2018-06-20,"N/A",59,NA,NA,NA,"","","2018-06-20","1"
"E1-175","E1",175,2018-06-20,"N/A",64,65,NA,NA,"","","2018-06-20","1"
"E1-176","E1",176,2018-06-20,"N/A",71,NA,NA,NA,"","","2018-06-20","1"
"E1-177","E1",177,2018-06-20,"N/A",77,NA,NA,NA,"","","2018-06-20","1"
"E1-178","E1",178,2018-06-20,"N/A",88,97.5,NA,NA,"","","2018-06-20","1"
"E1-179","E1",179,2018-06-20,"N/A",79,NA,NA,NA,"","","2018-06-20","1"
"E1-180","E1",180,2018-06-20,"N/A",89,NA,NA,NA,"","","2018-06-20","1"
"E1-181","E1",181,2018-06-20,"N/A",86,87,NA,NA,"","","2018-06-20","1"
"E1-182","E1",182,2018-06-20,"N/A",66,NA,NA,NA,"","","2018-06-20","1"
"E1-183","E1",183,2018-06-20,"N/A",89,106,96,NA,"","","2018-06-20","1"
"E1-184","E1",184,2018-06-20,"N/A",83,NA,NA,NA,"","","2018-06-20","1"
"E1-185","E1",185,2018-06-20,"N/A",75.5,NA,NA,NA,"","","2018-06-20","1"
"E1-186","E1",186,2018-06-20,"N/A",96,97,NA,NA,"","","2018-06-20","1"
"E1-187","E1",187,2018-06-20,"N/A",63,NA,NA,NA,"","","2018-06-20","1"
"E1-188","E1",188,2018-06-20,"N/A",108,117.5,NA,NA,"","","2018-06-20","1"
"E1-189","E1",189,2018-06-20,"N/A",76,NA,NA,NA,"","","2018-06-20","1"
"E1-190","E1",190,2018-06-20,"N/A",85,NA,NA,NA,"","","2018-06-20","1"
"E1-191","E1",191,2018-06-20,"N/A",72,NA,NA,NA,"","","2018-06-20","1"
"E1-192","E1",192,2018-06-20,"N/A",62,NA,NA,NA,"","","2018-06-20","1"
"E1-193","E1",193,2018-06-20,"N/A",80,86.5,NA,NA,"","","2018-06-20","1"
"E1-194","E1",194,2018-06-20,"N/A",63,NA,NA,NA,"","","2018-06-20","1"
"E1-195","E1",195,2018-06-20,"N/A",75,NA,NA,NA,"","","2018-06-20","1"
"E1-196","E1",196,2018-06-20,"N/A",75,NA,NA,NA,"","","2018-06-20","1"
"E1-197","E1",197,2018-06-20,"N/A",77,NA,NA,NA,"","","2018-06-20","1"
"E1-198","E1",198,2018-06-20,"N/A",78,82,NA,NA,"","","2018-06-20","1"
"E1-199","E1",199,2018-06-20,"N/A",56,NA,NA,NA,"","","2018-06-20","1"
"E1-200","E1",200,2018-06-20,"N/A",111,118.5,NA,NA,"","","2018-06-20","1"
"E2-1","E2",1,2018-06-20,"N/A",71.5,NA,NA,NA,"","","2018-06-20","1"
"E2-2","E2",2,2018-06-20,"N/A",71.5,NA,NA,NA,"","","2018-06-20","1"
"E2-3","E2",3,2018-06-20,"N/A",88,NA,NA,NA,"","","2018-06-20","1"
"E2-4","E2",4,2018-06-20,"N/A",61,NA,NA,NA,"","","2018-06-20","1"
"E2-5","E2",5,2018-06-20,"N/A",52,NA,NA,NA,"","","2018-06-20","1"
"E2-6","E2",6,2018-06-20,"N/A",89,NA,NA,NA,"","","2018-06-20","1"
"E2-7","E2",7,2018-06-20,"N/A",86,NA,NA,NA,"","","2018-06-20","1"
"E2-8","E2",8,2018-06-20,"N/A",73,NA,NA,NA,"","","2018-06-20","1"
"E2-9","E2",9,2018-06-20,"N/A",74.5,NA,NA,NA,"","","2018-06-20","1"
"E2-10","E2",10,2018-06-20,"N/A",69,NA,NA,NA,"","","2018-06-20","1"
"E2-11","E2",11,2018-06-20,"N/A",51.5,NA,NA,NA,"","","2018-06-20","1"
"E2-12","E2",12,2018-06-20,"N/A",76.5,78.5,NA,NA,"","","2018-06-20","1"
"E2-13","E2",13,2018-06-20,"N/A",61.5,63.5,NA,NA,"","","2018-06-20","1"
"E2-14","E2",14,2018-06-20,"N/A",71.5,NA,NA,NA,"","","2018-06-20","1"
"E2-15","E2",15,2018-06-20,"N/A",57,NA,NA,NA,"","","2018-06-20","1"
"E2-16","E2",16,2018-06-20,"N/A",97.5,NA,NA,NA,"","","2018-06-20","1"
"E2-17","E2",17,2018-06-20,"N/A",68,70.5,NA,NA,"","","2018-06-20","1"
"E2-18","E2",18,2018-06-20,"N/A",56,72,64,NA,"","","2018-06-20","1"
"E2-19","E2",19,2018-06-20,"N/A",74,NA,NA,NA,"","","2018-06-20","1"
"E2-20","E2",20,2018-06-20,"N/A",66,NA,NA,NA,"","","2018-06-20","1"
"E2-21","E2",21,2018-06-20,"N/A",96.5,NA,NA,NA,"","","2018-06-20","1"
"E2-22","E2",22,2018-06-20,"N/A",99,101.5,NA,NA,"","","2018-06-20","1"
"E2-23","E2",23,2018-06-20,"N/A",86.5,NA,NA,NA,"","","2018-06-20","1"
"E2-24","E2",24,2018-06-20,"N/A",88,94.5,NA,NA,"","","2018-06-20","1"
"E2-25","E2",25,2018-06-20,"N/A",102,NA,NA,NA,"","","2018-06-20","1"
"E2-26","E2",26,2018-06-20,"N/A",94,97.5,NA,NA,"","","2018-06-20","1"
"E2-27","E2",27,2018-06-20,"N/A",69.5,NA,NA,NA,"","","2018-06-20","1"
"E2-28","E2",28,2018-06-20,"N/A",77.5,NA,NA,NA,"","","2018-06-20","1"
"E2-29","E2",29,2018-06-20,"N/A",93.5,98.5,NA,NA,"","","2018-06-20","1"
"E2-30","E2",30,2018-06-20,"N/A",49,NA,NA,NA,"","","2018-06-20","1"
"E2-31","E2",31,2018-06-20,"N/A",88.5,92.5,NA,NA,"","","2018-06-20","1"
"E2-32","E2",32,2018-06-20,"N/A",92.5,NA,NA,NA,"","","2018-06-20","1"
"E2-33","E2",33,2018-06-20,"N/A",97,NA,NA,NA,"","","2018-06-20","1"
"E2-34","E2",34,2018-06-20,"N/A",77,NA,NA,NA,"","","2018-06-20","1"
"E2-35","E2",35,2018-06-20,"N/A",70.5,NA,NA,NA,"","","2018-06-20","1"
"E2-36","E2",36,2018-06-20,"N/A",51.5,NA,NA,NA,"","","2018-06-20","1"
"E2-37","E2",37,2018-06-20,"N/A",58.5,NA,NA,NA,"","","2018-06-20","1"
"E2-38","E2",38,2018-06-20,"N/A",86.5,NA,NA,NA,"","","2018-06-20","1"
"E2-39","E2",39,2018-06-20,"N/A",79,NA,NA,NA,"","","2018-06-20","1"
"E2-40","E2",40,2018-06-20,"N/A",27,NA,NA,NA,"","","2018-06-20","1"
"E2-41","E2",41,2018-06-20,"N/A",86,89,NA,NA,"","","2018-06-20","1"
"E2-42","E2",42,2018-06-20,"N/A",76,NA,NA,NA,"","","2018-06-20","1"
"E2-43","E2",43,2018-06-20,"N/A",82.5,NA,NA,NA,"","","2018-06-20","1"
"E2-44","E2",44,2018-06-20,"N/A",81,NA,NA,NA,"","","2018-06-20","1"
"E2-45","E2",45,2018-06-20,"N/A",76.5,NA,NA,NA,"","","2018-06-20","1"
"E2-46","E2",46,2018-06-20,"N/A",58,NA,NA,NA,"","","2018-06-20","1"
"E2-47","E2",47,2018-06-20,"N/A",52,NA,NA,NA,"","","2018-06-20","1"
"E2-48","E2",48,2018-06-20,"N/A",62.5,NA,NA,NA,"","","2018-06-20","1"
"E2-49","E2",49,2018-06-20,"N/A",45.5,NA,NA,NA,"","","2018-06-20","1"
"E2-50","E2",50,2018-06-20,"N/A",52,NA,NA,NA,"","","2018-06-20","1"
"E2-51","E2",51,2018-06-20,"N/A",69,NA,NA,NA,"","","2018-06-20","1"
"E2-52","E2",52,2018-06-20,"N/A",47,NA,NA,NA,"","","2018-06-20","1"
"E2-53","E2",53,2018-06-20,"N/A",91.5,NA,NA,NA,"","","2018-06-20","1"
"E2-54","E2",54,2018-06-20,"N/A",77.5,NA,NA,NA,"","","2018-06-20","1"
"E2-55","E2",55,2018-06-20,"N/A",76,NA,NA,NA,"","","2018-06-20","1"
"E2-56","E2",56,2018-06-20,"N/A",77,80.5,NA,NA,"","","2018-06-20","1"
"E2-57","E2",57,2018-06-20,"N/A",98,101,NA,NA,"","","2018-06-20","1"
"E2-58","E2",58,2018-06-20,"N/A",56,NA,NA,NA,"","","2018-06-20","1"
"E2-59","E2",59,2018-06-20,"N/A",68.5,NA,NA,NA,"","","2018-06-20","1"
"E2-60","E2",60,2018-06-20,"N/A",61.5,NA,NA,NA,"","","2018-06-20","1"
"E2-61","E2",61,2018-06-20,"N/A",84,NA,NA,NA,"","","2018-06-20","1"
"E2-62","E2",62,2018-06-20,"N/A",45.5,NA,NA,NA,"","","2018-06-20","1"
"E2-63","E2",63,2018-06-20,"N/A",75.5,NA,NA,NA,"","","2018-06-20","1"
"E2-64","E2",64,2018-06-20,"N/A",54.5,NA,NA,NA,"","","2018-06-20","1"
"E2-65","E2",65,2018-06-20,"N/A",85.5,NA,NA,NA,"","","2018-06-20","1"
"E2-66","E2",66,2018-06-20,"N/A",40,NA,NA,NA,"","","2018-06-20","1"
"E2-67","E2",67,2018-06-20,"N/A",46.5,NA,NA,NA,"","","2018-06-20","1"
"E2-68","E2",68,2018-06-20,"N/A",83,NA,NA,NA,"","","2018-06-20","1"
"E2-69","E2",69,2018-06-20,"N/A",82,NA,NA,NA,"","","2018-06-20","1"
"E2-70","E2",70,2018-06-20,"N/A",62,65.5,NA,NA,"","","2018-06-20","1"
"E2-71","E2",71,2018-06-20,"N/A",78,NA,NA,NA,"","","2018-06-20","1"
"E2-72","E2",72,2018-06-20,"N/A",71,73.5,NA,NA,"","","2018-06-20","1"
"E2-73","E2",73,2018-06-20,"N/A",67,NA,NA,NA,"","","2018-06-20","1"
"E2-74","E2",74,2018-06-20,"N/A",90,NA,NA,NA,"","","2018-06-20","1"
"E2-75","E2",75,2018-06-20,"N/A",79.5,NA,NA,NA,"","","2018-06-20","1"
"E2-76","E2",76,2018-06-20,"N/A",83,NA,NA,NA,"","","2018-06-20","1"
"E2-77","E2",77,2018-06-20,"N/A",53.5,NA,NA,NA,"","","2018-06-20","1"
"E2-78","E2",78,2018-06-20,"N/A",63.5,NA,NA,NA,"","","2018-06-20","1"
"E2-79","E2",79,2018-06-20,"N/A",87,90,NA,NA,"","","2018-06-20","1"
"E2-80","E2",80,2018-06-20,"N/A",68.5,70,NA,NA,"","","2018-06-20","1"
"E2-81","E2",81,2018-06-20,"N/A",92.5,NA,NA,NA,"","","2018-06-20","1"
"E2-82","E2",82,2018-06-20,"N/A",82,NA,NA,NA,"","","2018-06-20","1"
"E2-83","E2",83,2018-06-20,"N/A",80.5,NA,NA,NA,"","","2018-06-20","1"
"E2-84","E2",84,2018-06-20,"N/A",41,NA,NA,NA,"","","2018-06-20","1"
"E2-85","E2",85,2018-06-20,"N/A",45,NA,NA,NA,"","","2018-06-20","1"
"E2-86","E2",86,2018-06-20,"N/A",62,NA,NA,NA,"","","2018-06-20","1"
"E2-87","E2",87,2018-06-20,"N/A",72.5,77,NA,NA,"","","2018-06-20","1"
