"ind","FFDAYS","FLOWER"
"E12-10",186,TRUE
"E12-100",197,TRUE
"E12-101",197,TRUE
"E12-102",197,TRUE
"E12-103",197,TRUE
"E12-104",189,TRUE
"E12-105",197,TRUE
"E12-106",197,TRUE
"E12-107",197,TRUE
"E12-108",211,TRUE
"E12-109",205,TRUE
"E12-11",184,TRUE
"E12-110",205,TRUE
"E12-111",205,TRUE
"E12-112",197,TRUE
"E12-113",197,TRUE
"E12-114",197,TRUE
"E12-115",197,TRUE
"E12-116",197,TRUE
"E12-117",205,TRUE
"E12-118",197,TRUE
"E12-119",189,TRUE
"E12-12",205,TRUE
"E12-120",184,TRUE
"E12-121",189,TRUE
"E12-122",197,TRUE
"E12-123",186,TRUE
"E12-124",197,TRUE
"E12-125",205,TRUE
"E12-126",205,TRUE
"E12-127",184,TRUE
"E12-128",197,TRUE
"E12-129",211,TRUE
"E12-13",197,TRUE
"E12-130",184,TRUE
"E12-131",197,TRUE
"E12-132",197,TRUE
"E12-133",197,TRUE
"E12-134",205,TRUE
"E12-135",205,TRUE
"E12-136",197,TRUE
"E12-137",197,TRUE
"E12-138",211,TRUE
"E12-139",197,TRUE
"E12-14",205,TRUE
"E12-140",205,TRUE
"E12-141",197,TRUE
"E12-142",197,TRUE
"E12-143",205,TRUE
"E12-144",205,TRUE
"E12-145",197,TRUE
"E12-146",197,TRUE
"E12-147",224,TRUE
"E12-148",186,TRUE
"E12-149",197,TRUE
"E12-15",205,TRUE
"E12-150",197,TRUE
"E12-151",197,TRUE
"E12-152",219,TRUE
"E12-153",197,TRUE
"E12-154",205,TRUE
"E12-155",219,TRUE
"E12-156",197,TRUE
"E12-157",205,TRUE
"E12-158",205,TRUE
"E12-159",205,TRUE
"E12-16",197,TRUE
"E12-160",205,TRUE
"E12-161",189,TRUE
"E12-162",272,TRUE
"E12-163",197,TRUE
"E12-164",211,TRUE
"E12-165",189,TRUE
"E12-166",186,TRUE
"E12-167",219,TRUE
"E12-168",197,TRUE
"E12-169",197,TRUE
"E12-17",205,TRUE
"E12-170",205,TRUE
"E12-171",197,TRUE
"E12-172",205,TRUE
"E12-173",205,TRUE
"E12-174",197,TRUE
"E12-175",184,TRUE
"E12-176",197,TRUE
"E12-177",272,TRUE
"E12-178",197,TRUE
"E12-179",205,TRUE
"E12-18",197,TRUE
"E12-180",205,TRUE
"E12-181",197,TRUE
"E12-182",205,TRUE
"E12-183",205,TRUE
"E12-184",197,TRUE
"E12-185",197,TRUE
"E12-186",197,TRUE
"E12-187",197,TRUE
"E12-188",205,TRUE
"E12-189",197,TRUE
"E12-19",224,TRUE
"E12-190",189,TRUE
"E12-191",197,TRUE
"E12-192",211,TRUE
"E12-193",186,TRUE
"E12-194",186,TRUE
"E12-195",205,TRUE
"E12-196",189,TRUE
"E12-197",NA,FALSE
"E12-198",189,TRUE
"E12-199",211,TRUE
"E12-2",205,TRUE
"E12-20",205,TRUE
"E12-200",219,TRUE
"E12-201",205,TRUE
"E12-202",189,TRUE
"E12-21",184,TRUE
"E12-22",205,TRUE
"E12-23",189,TRUE
"E12-24",205,TRUE
"E12-25",205,TRUE
"E12-26",205,TRUE
