"Block","Pos","Ind","Weight"
"E5",192,"E5-192",0.0686486486486544
"E5",193,"E5-193",0
"E5",194,"E5-194",0
"E5",195,"E5-195",0
"E5",196,"E5-196",0
"E5",197,"E5-197",0.0486486486486513
"E5",198,"E5-198",5.41864864864866
"E5",199,"E5-199",0
"E5",200,"E5-200",0
"E6",1,"E6-1",18.6786486486487
"E6",2,"E6-2",2.54864864864865
"E6",3,"E6-3",3.51864864864865
"E6",4,"E6-4",0.248648648648654
"E6",5,"E6-5",7.10864864864865
"E6",6,"E6-6",11.8786486486486
"E6",7,"E6-7",5.55864864864865
"E6",8,"E6-8",2.97864864864865
"E6",9,"E6-9",1.81864864864865
"E6",10,"E6-10",1.68864864864865
"E6",11,"E6-11",21.1586486486487
"E6",12,"E6-12",0
"E6",13,"E6-13",8.43864864864865
"E6",14,"E6-14",3.46864864864865
"E6",15,"E6-15",3.63864864864865
"E6",16,"E6-16",26.4086486486487
"E6",17,"E6-17",9.99864864864865
"E6",19,"E6-19",14.2986486486487
"E6",21,"E6-21",9.12864864864865
"E6",22,"E6-22",5.16864864864866
"E6",23,"E6-23",7.83864864864865
"E6",24,"E6-24",3.18864864864865
"E6",25,"E6-25",10.7686486486487
"E6",26,"E6-26",0.958648648648655
"E6",27,"E6-27",9.61864864864865
"E6",28,"E6-28",11.6086486486487
"E6",29,"E6-29",4.08864864864865
"E6",30,"E6-30",9.08864864864865
"E6",31,"E6-31",9.77864864864866
"E6",32,"E6-32",9.75864864864865
"E6",33,"E6-33",8.15864864864865
"E6",34,"E6-34",5.58864864864865
"E6",35,"E6-35",11.5286486486487
"E6",36,"E6-36",17.9586486486487
"E6",37,"E6-37",3.47864864864865
"E6",38,"E6-38",4.82864864864865
"E6",39,"E6-39",10.2686486486487
"E6",40,"E6-40",2.59864864864866
"E6",41,"E6-41",5.90864864864865
"E6",42,"E6-42",4.44864864864865
"E6",43,"E6-43",6.82864864864865
"E6",44,"E6-44",1.05864864864865
"E6",45,"E6-45",6.07864864864865
"E6",46,"E6-46",18.3186486486487
"E6",47,"E6-47",5.97864864864865
"E6",48,"E6-48",5.30864864864865
"E6",49,"E6-49",2.85864864864865
"E6",50,"E6-50",15.7786486486487
"E6",51,"E6-51",14.4286486486487
"E6",52,"E6-52",3.19864864864865
"E6",53,"E6-53",6.45864864864865
"E6",54,"E6-54",5.10864864864865
"E6",55,"E6-55",0.708648648648655
"E6",56,"E6-56",9.11864864864865
"E6",57,"E6-57",6.67864864864865
"E6",58,"E6-58",9.79864864864865
"E6",59,"E6-59",15.1286486486486
"E6",60,"E6-60",15.6286486486486
"E6",61,"E6-61",9.53864864864865
"E6",62,"E6-62",4.98864864864865
"E6",63,"E6-63",7.56864864864865
"E6",64,"E6-64",0.478648648648651
"E6",65,"E6-65",7.95864864864865
"E6",66,"E6-66",9.37864864864865
"E6",67,"E6-67",8.57864864864865
"E6",68,"E6-68",15.6886486486487
"E6",69,"E6-69",4.89864864864865
"E6",70,"E6-70",2.78864864864865
"E6",71,"E6-71",11.7586486486487
"E6",72,"E6-72",1.88864864864865
"E6",73,"E6-73",10.5386486486487
"E6",74,"E6-74",0.398648648648653
"E6",75,"E6-75",8.43864864864865
"E6",76,"E6-76",3.79864864864865
"E6",77,"E6-77",11.7286486486487
"E6",78,"E6-78",11.4686486486487
"E6",79,"E6-79",16.8586486486487
"E6",80,"E6-80",4.80864864864865
"E6",81,"E6-81",2.53864864864865
"E6",82,"E6-82",14.0786486486487
"E6",83,"E6-83",8.44864864864865
"E6",84,"E6-84",4.85864864864865
"E6",85,"E6-85",5.57864864864865
"E6",86,"E6-86",14.0386486486487
"E6",87,"E6-87",6.90864864864865
"E6",88,"E6-88",5.15864864864865
"E6",89,"E6-89",3.63864864864865
"E6",90,"E6-90",2.85864864864865
