"Block","Pos","rawWeight","ind","Weight"
"E10","133",37.13,"E10-133",8.08417
"E10","134",33.84,"E10-134",4.79417
"E10","135",34.33,"E10-135",5.28417
"E10","136",31.86,"E10-136",2.81417
"E10","137",34.16,"E10-137",5.11417
"E10","138",42.69,"E10-138",13.64417
"E10","139",32.35,"E10-139",3.30417
"E10","140",30,"E10-140",0.954170000000001
"E10","141",29.57,"E10-141",0.524170000000002
"E10","142",31.06,"E10-142",2.01417
"E10","143",29.83,"E10-143",0.78417
"E10","144",30.61,"E10-144",1.56417
"E10","145",31.2,"E10-145",2.15417
"E10","146",39.43,"E10-146",10.38417
"E10","147",30.12,"E10-147",1.07417
"E10","148",37.97,"E10-148",8.92417
"E10","149",39.28,"E10-149",10.23417
"E10","150",35.21,"E10-150",6.16417
"E10","151",33.54,"E10-151",4.49417
"E10","152",29.6,"E10-152",0.554170000000003
"E10","153",30.84,"E10-153",1.79417
"E10","154",29.3,"E10-154",0.254170000000002
"E10","155",28.8,"E10-155",0
"E10","156",32.44,"E10-156",3.39417
"E10","157",29.93,"E10-157",0.884170000000001
"E10","158",39.72,"E10-158",10.67417
"E10","159",34.57,"E10-159",5.52417
"E10","160",31.72,"E10-160",2.67417
"E10","161",29.21,"E10-161",0.164170000000002
"E10","162",40.75,"E10-162",11.70417
"E10","163",29,"E10-163",0
"E10","164",31.62,"E10-164",2.57417
"E10","165",33.15,"E10-165",4.10417
"E10","166",34.48,"E10-166",5.43417
"E10","167",37.44,"E10-167",8.39417
"E10","168",35.76,"E10-168",6.71417
"E10","169",29.01,"E10-169",0
"E10","170",34.58,"E10-170",5.53417
"E10","171",32.5,"E10-171",3.45417
"E10","172",29.21,"E10-172",0.164170000000002
"E10","173",46.98,"E10-173",17.93417
"E10","174",31.43,"E10-174",2.38417
"E10","175",32.03,"E10-175",2.98417
"E10","176",34.73,"E10-176",5.68417
"E10","177",35.16,"E10-177",6.11417
"E10","178",29.93,"E10-178",0.884170000000001
"E10","179",31.33,"E10-179",2.28417
"E10","180",29.54,"E10-180",0.49417
"E10","181",35.27,"E10-181",6.22417
"E10","182",30.84,"E10-182",1.79417
"E10","183",37.92,"E10-183",8.87417
