Block,Pos,Date,Weight,Measured_by,Entered_by,Missing,NOTES,"Individuals with missing bags were assigned the ""empty bag"" weight for their box- May 10, 2023"
E3,175,30-Mar-23,32.55,Gabrielle Janfield,,,,
E3,176,30-Mar-23,40.42,Gabrielle Janfield,,,"Bottom of bag has small hole, taped after weighing",
E3,177,30-Mar-23,32.78,Gabrielle Janfield,,,,
E3,178,30-Mar-23,33.05,Gabrielle Janfield,,,,
E3,179,30-Mar-23,32.17,Gabrielle Janfield,,,,
E3,180,30-Mar-23,57.22,Gabrielle Janfield,,,"Bottom of bag has small hole, taped after weighing",
E3,181,30-Mar-23,31.69,Gabrielle Janfield,,,,
E3,182,30-Mar-23,29.85,Gabrielle Janfield,,,,
E3,183,30-Mar-23,41.59,Gabrielle Janfield,,,,
E3,184,30-Mar-23,60.95,Gabrielle Janfield,,,,
E3,185,30-Mar-23,41.38,Gabrielle Janfield,,,,
E3,186,30-Mar-23,31.47,Gabrielle Janfield,,,,
E3,187,30-Mar-23,30.74,Gabrielle Janfield,,,,
E3,188,30-Mar-23,33.39,Gabrielle Janfield,,,,
E3,189,30-Mar-23,31.65,Gabrielle Janfield,,,,
E3,190,30-Mar-23,36.23,Gabrielle Janfield,,,,
E3,191,30-Mar-23,31.17,Gabrielle Janfield,,,,
E3,192,30-Mar-23,36.24,Gabrielle Janfield,,,,
E3,193,30-Mar-23,33.75,Gabrielle Janfield,,,,
E3,194,30-Mar-23,66.8,Gabrielle Janfield,,,,
E3,195,30-Mar-23,40.92,Gabrielle Janfield,,,,
E3,196,30-Mar-23,41.89,Gabrielle Janfield,,,,
E3,197,30-Mar-23,31.05,Gabrielle Janfield,,,,
E3,198,30-Mar-23,35.5,Gabrielle Janfield,,,,
E3,199,30-Mar-23,40.42,Gabrielle Janfield,,,,
E3,200,30-Mar-23,36.41,Gabrielle Janfield,,,empty bag from box E3 151-200 = 30.48g --> w/ seed and leaf debris,
E4,1,,,,,,,
E4,2,,,,,,,
E4,3,,,,,,,
E4,4,2024-01-25,32.78,Heidi Albers,Heidi Albers,,,
E4,5,2024-01-25,30.78,Heidi Albers,Heidi Albers,,,
E4,6,2024-01-25,30.37,Heidi Albers,Heidi Albers,,,
E4,7,,,,,,,
E4,8,,,,,,,
E4,9,,,,,,,
E4,10,,,,,,,
E4,11,2024-01-25,31.2,Heidi Albers,Heidi Albers,,,
E4,12,,,,,,,
E4,13,2024-01-25,30.6,Heidi Albers,Heidi Albers,,,
E4,14,,,,,,,
E4,15,,,,,,,
E4,16,,,,,,,
E4,17,,,,,,,
E4,18,,,,,,,
E4,19,,,,,,,
E4,20,2024-01-25,30.65,Heidi Albers,Heidi Albers,,,
E4,21,,,,,,,
E4,22,,,,,,,
E4,23,,,,,,,
E4,24,,,,,,,
E4,25,,,,,,,
E4,26,,,,,,,
E4,27,,,,,,,
E4,28,,,,,,,
E4,29,,,,,,,
E4,30,2024-01-25,30.29,Heidi Albers,Heidi Albers,,,
E4,31,,,,,,,
E4,32,,,,,,,
E4,33,,,,,,,
E4,34,2024-01-25,30.74,Heidi Albers,Heidi Albers,,,
E4,35,2024-01-25,30.76,Heidi Albers,Heidi Albers,,,
E4,36,2024-01-25,30.56,Heidi Albers,Heidi Albers,,,
E4,37,,,,,,,
E4,38,2024-01-25,29.64,Heidi Albers,Heidi Albers,,,
E4,39,,,,,,,
E4,40,,,,,,,
E4,41,,,,,,,
E4,42,,,,,,,
E4,43,,,,,,,
E4,44,,,,,,,
E4,45,,,,,,,
E4,46,,,,,,,
E4,47,,,,,,,
E4,48,,,,,,,
E4,49,,,,,,,
E4,50,,,,,,,
E4,51,,,,,,,
E4,52,,,,,,,
E4,53,,,,,,,
E4,54,,,,,,,
E4,55,,,,,,,
E4,56,,,,,,,
E4,57,,,,,,,
E4,58,,,,,,,
E4,59,,,,,,,
E4,60,,,,,,,
E4,61,,,,,,,
E4,62,,,,,,,
E4,63,,,,,,,
E4,64,,,,,,,
E4,65,,,,,,,
E4,66,,,,,,,
E4,67,,,,,,,
E4,68,,,,,,,
E4,69,,,,,,,
E4,70,,,,,,,
