Block,Pos,Weight,Measured_by,Date,Entered_by,Missing,,
e10,14,21.6,df,jan 10th 2020,DF,0,,
e10,15,31.4,df,jan 10th 2020,DF,0,,
e10,16,29.9,df,jan 10th 2020,DF,0,,
e10,17,30.94,df,jan 10th 2020,DF,0,,
e10,18,33.67,df,jan 10th 2020,DF,0,,
e10,19,29.45,df,jan 10th 2020,DF,0,,
e10,20,30.41,df,jan 10th 2020,DF,0,,
e10,21,46.46,df,jan 10th 2020,DF,0,,
e10,22,29.55,df,jan 10th 2020,DF,0,,
e10,23,30.53,df,jan 10th 2020,DF,0,,
e10,24,30.5,df,jan 10th 2020,DF,0,,
e10,25,28.57,df,jan 10th 2020,DF,0,,
e10,26,31.76,df,jan 10th 2020,DF,0,,
e10,27,32.11,df,jan 10th 2020,DF,0,,
e10,28,29.42,df,jan 10th 2020,DF,0,,
e10,29,33.55,df,jan 10th 2020,DF,0,,
e10,30,32.18,df,jan 10th 2020,DF,0,,
e10,31,29.35,df,jan 10th 2020,DF,0,,
e10,32,31.77,df,jan 10th 2020,DF,0,,
e10,33,31.68,df,jan 10th 2020,DF,0,,
e10,34,28.34,df,jan 10th 2020,DF,0,,
e10,35,31.79,df,jan 10th 2020,DF,0,,
e10,36,33.54,df,jan 10th 2020,DF,0,,
e10,37,30.84,df,jan 10th 2020,DF,0,,
e10,38,33.52,df,jan 10th 2020,DF,0,,
e10,39,27.65,df,jan 10th 2020,DF,0,,
e10,40,30.17,df,jan 10th 2020,DF,0,,
e10,41,37.6,df,jan 10th 2020,DF,0,,
e10,42,29.08,df,jan 10th 2020,DF,0,,
e10,43,33.18,df,jan 10th 2020,DF,0,,
e10,44,29.24,df,jan 10th 2020,DF,0,,
e10,45,30.98,df,jan 10th 2020,DF,0,,
e10,46,35.44,df,jan 10th 2020,DF,0,,
e10,47,29.14,df,jan 10th 2020,DF,0,,
e10,48,32.32,df,jan 10th 2020,DF,0,,
e10,49,29.2,df,jan 10th 2020,DF,0,,
e10,50,36.68,df,jan 10th 2020,DF,0,,
e10,51,33.83,df,jan 10th 2020,DF,0,,
e10,52,33.39,df,jan 10th 2020,DF,0,,
e10,53,36.63,df,jan 10th 2020,DF,0,,
e10,54,33.35,df,jan 10th 2020,DF,0,,
e10,55,34.62,df,jan 10th 2020,DF,0,,
e10,56,34.45,df,jan 10th 2020,DF,0,,
e10,57,29.85,df,jan 10th 2020,DF,0,,
e10,58,30.28,df,jan 10th 2020,DF,0,,
e10,59,30.02,df,jan 10th 2020,DF,0,,
e10,60,32.7,df,jan 10th 2020,DF,0,,
e10,61,37.45,df,jan 10th 2020,DF,0,,
e10,62,30.97,df,jan 10th 2020,DF,0,,
e10,63,39.91,df,jan 10th 2020,DF,0,,
e10,64,29.29,df,jan 10th 2020,DF,0,,
e10,65,34.75,df,jan 10th 2020,DF,0,,
e10,66,34.87,df,jan 10th 2020,DF,0,,
e10,67,32.94,df,jan 10th 2020,DF,0,,
e10,68,31.77,df,jan 10th 2020,DF,0,,
e10,69,29.28,df,jan 10th 2020,DF,0,,
e10,70,32.54,df,jan 10th 2020,DF,0,,
e10,71,40.45,df,jan 10th 2020,DF,0,,
e10,72,34.16,df,jan 10th 2020,DF,0,,
e10,73,33,df,jan 10th 2020,DF,0,,
e10,74,29.15,df,jan 10th 2020,DF,0,,
e10,75,37.51,df,jan 10th 2020,DF,0,,
e10,76,30.32,df,jan 10th 2020,DF,0,,
e10,77,30.87,df,jan 10th 2020,DF,0,,
e10,78,35.82,df,jan 10th 2020,DF,0,,
e10,79,35.77,df,jan 10th 2020,DF,0,,
e10,80,30.94,df,jan 10th 2020,DF,0,,
e10,81,37.5,df,jan 10th 2020,DF,0,,
e10,82,29.43,df,jan 10th 2020,DF,0,,
e10,83,34.27,df,jan 10th 2020,DF,0,,
e10,84,32.56,df,jan 10th 2020,DF,0,,
e10,85,31.41,df,jan 10th 2020,DF,0,,
e10,86,37.69,df,jan 10th 2020,DF,0,,
e10,87,30.96,df,jan 10th 2020,DF,0,,
e10,88,31.66,df,jan 10th 2020,DF,0,,
e10,89,34.16,df,jan 10th 2020,DF,0,,
e10,90,30.88,df,jan 10th 2020,DF,0,,
e10,91,44,df,jan 10th 2020,DF,0,,
e10,92,32.09,df,jan 10th 2020,DF,0,,
e10,93,38.38,df,jan 10th 2020,DF,0,,
e10,94,37.48,df,jan 10th 2020,DF,0,,
e10,95,32.54,df,jan 10th 2020,DF,0,,
e10,96,48.79,df,jan 10th 2020,DF,0,,
e10,97,39.51,df,jan 10th 2020,DF,0,,
e10,98,38.07,df,jan 10th 2020,DF,0,,
e10,99,33.29,df,jan 10th 2020,DF,0,,
e10,100,35.88,df,jan 10th 2020,DF,0,,
e10,101,35.64,df,jan 10th 2020,DF,0,,
e10,102,52.59,df,jan 10th 2020,DF,0,,
e10,103,52.16,df,jan 10th 2020,DF,0,,
e10,104,34.34,df,jan 10th 2020,DF,0,,
e10,105,48.38,df,jan 10th 2020,DF,0,,
e10,106,29.45,df,jan 10th 2020,DF,0,,
e10,107,36.09,df,jan 10th 2020,DF,0,,
e10,108,33.76,df,jan 10th 2020,DF,0,,
e10,109,32.77,df,jan 10th 2020,DF,0,,
e10,110,40.74,df,jan 10th 2020,DF,0,,
e10,111,28.94,df,jan 10th 2020,DF,0,,
e10,112,39.63,df,jan 10th 2020,DF,0,,
e10,113,39.46,df,jan 10th 2020,DF,0,,
e10,114,32.42,df,jan 10th 2020,DF,0,,
