date,measurer,block,pos,veg,bud,flw,frt,abt,mer,sec,new,notes,,
2019-05-22,Mia,E2,120,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,121,12.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,122,14.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,123,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,124,20,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,125,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,126,13.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,127,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,128,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,129,7.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,130,11.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,131,12.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,132,22,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,133,7.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,134,16.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,135,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,136,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,137,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,138,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,139,16,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,140,12,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,141,14,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,142,15,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,143,17,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,144,23,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,145,18.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,146,12.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,147,13,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,148,17.5,NA,NA,NA,NA,0,0,0,,,
2019-05-22,Mia,E2,149,14,NA,NA,NA,NA,0,0,0,,,
